var,len,start,description
CCAA,2,1,"Comunidad Autónoma de residencia"
IDENTHOGAR,8,3,"Número de identificación del hogar: sección + vivienda + hogar 00000001 a 99999999"
A7_2a,2,11,"Número de orden del adulto seleccionado"
SEXOa,1,13,"Identificación del adulto seleccionado: Sexo 01 a 15 "
EDADa,3,14,"Identificación del adulto seleccionado: Edad. De 015 a 120"
PROXY_0,1,17,"¿El informante es la persona seleccionada?"
PROXY_1,1,18,"Informante proxy: ¿Cuál es el motivo por el que la persona seleccionada no facilita sus datos?"
PROXY_2,1,19,"Informante proxy: ¿Es miembro del hogar el informante?"
PROXY_2b,2,20,"Informante proxy: Número de orden del miembro del hogar"
PROXY_3b,1,22,"Informante proxy: Sexo del informante"
PROXY_4,3,23,"Informante proxy: Edad del informante. De 018 a 120"
PROXY_5,1,26,"Informante proxy: Relación del informante con el adulto seleccionado"
E1_1,1,27,"País de nacimiento"
E1C,1,28,"País de nacimiento de la madre"
E1E,1,29,"País de nacimiento del padre"
E2_1a,1,30,"Nacionalidad: Española"
E2_1b,1,31,"Nacionalidad: Extranjera"
E2_1c,1,32,"Nacionalidad: No sabe"
E2_1d,1,33,"Nacionalidad: No contesta"
E3,2,34,"Años residiendo en España (00 a 97 años)"
E4,1,36,"Convivencia en pareja"
E4b,1,37,"Estado civil"
ESTUDIOS,2,38,"Nivel de estudios del adulto seleccionado"
F6,1,40,"Adulto seleccionado: ¿Percibe pensión contributiva?"
F7,1,41,"Adulto seleccionado: ¿Ha trabajado antes?"
F8_2,3,42,"Persona que generó la pensión: Actividad de la empresa en la que trabajó (CNAE2009, 3 dígitos) 000 No contesta"
F9_2,3,45,"Persona que generó la pensión: Ocupación, profesión u oficio (CNO2011, 3 dígitos) 000 No contesta"
F10,1,48,"Persona que generó la pensión: Situación profesional en la ocupación que desempeñó"
F11,1,49,"Adulto seleccionado: Tiempo que lleva desempleado"
F12,1,50,"Adulto seleccionado: ¿Ha trabajado antes?"
F13,2,51,"Adulto seleccionado: Tipo de contrato o relación laboral"
F14a,1,53,"Adulto seleccionado: Duración del contrato"
F14b,1,54,"Adulto seleccionado: Duración de la relación laboral"
F15,1,55,"Adulto seleccionado: Número de trabajadores a su cargo"
F16,1,56,"Adulto seleccionado: Trabajo a tiempo completo / tiempo parcial"
F17,2,57,"Adulto seleccionado: Tipo de jornada en su trabajo principal actual"
F18a_2,3,59,"Adulto seleccionado: Actividad de la empresa en la que trabaja (CNAE2009, 3 dígitos)"
F18b_2,3,62,"Adulto seleccionado: Actividad de la empresa en la que trabajó (CNAE2009, 3 dígitos)"
F19a_2,3,65,"Adulto seleccionado: Ocupación, profesión u oficio actual (CNO2011, 3 dígitos)"
F19b_2,3,68,"Adulto seleccionado: Última ocupación, profesión u oficio (CNO2011, 3 dígitos)"
F20,1,71,"Adulto seleccionado: Situación profesional que desempeñó en su último empleo"
G21,1,72,"Estado de salud percibido en los últimos 12 meses"
G22,1,73,"Enfermedad o problema de salud crónicos o de larga duración"
G23,1,74,"Grado de limitación durante al menos 6 meses por un problema de salud"
G24,1,75,"Tipo de problema que causa la dificultad"
G24a,1,76,"Estado de salud bucodental"
G25a_1,1,77,"Ha padecido alguna vez: Tensión alta"
G25b_1,1,78,"Ha padecido en los últimos 12 meses: Tensión alta"
G25c_1,1,79,"Diagnóstico médico: Tensión alta"
G25a_2,1,80,"Ha padecido alguna vez: Infarto de miocardio"
G25b_2,1,81,"Ha padecido en los últimos 12 meses: Infarto de miocardio"
G25c_2,1,82,"Diagnóstico médico: Infarto de miocardio"
G25d_2,1,83,"Secuelas : Ha padecido secuelas del infarto de miocardio"
G25a_3,1,84,"Ha padecido alguna vez: Angina de pecho, enfermedad coronaria"
G25b_3,1,85,"Ha padecido en los últimos 12 meses: Angina de pecho, enfermedad coronaria"
G25c_3,1,86,"Diagnóstico médico: Angina de pecho, enfermedad coronaria"
G25a_4,1,87,"Ha padecido alguna vez: Otras enfermedades del corazón"
G25b_4,1,88,"Ha padecido en los últimos 12 meses: Otras enfermedades del corazón"
G25c_4,1,89,"Diagnóstico médico: Otras enfermedades del corazón"
G25a_5,1,90,"Ha padecido alguna vez: Varices en las piernas"
G25b_5,1,91,"Ha padecido en los últimos 12 meses: Varices en las piernas"
G25c_5,1,92,"Diagnóstico médico: Varices en las piernas"
G25a_6,1,93,"Ha padecido alguna vez: Artrosis (excluyendo artritis)"
G25b_6,1,94,"Ha padecido en los últimos 12 meses: Artrosis (excluyendo artritis)"
G25c_6,1,95,"Diagnóstico médico: Artrosis (excluyendo artritis)"
G25a_7,1,96,"Ha padecido alguna vez: Dolor de espalda crónico (cervical)"
G25b_7,1,97,"Ha padecido en los últimos 12 meses: Dolor de espalda crónico (cervical)"
G25c_7,1,98,"Diagnóstico médico: Dolor de espalda crónico (cervical)"
G25a_8,1,99,"Ha padecido alguna vez: Dolor de espalda crónico (lumbar)"
G25b_8,1,100,"Ha padecido en los últimos 12 meses: Dolor de espalda crónico (lumbar)"
G25c_8,1,101,"Diagnóstico médico: Dolor de espalda crónico (lumbar)"
G25a_9,1,102,"Ha padecido alguna vez: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)"
G25b_9,1,103,"Ha padecido en los últimos 12 meses: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)"
G25c_9,1,104,"Diagnóstico médico: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)"
G25a_10,1,105,"Ha padecido alguna vez: Asma (incluida asma alérgica)"
G25b_10,1,106,"Ha padecido en los últimos 12 meses: Asma (incluida asma alérgica)"
G25c_10,1,107,"Diagnóstico médico: Asma (incluida asma alérgica)"
G25a_11,1,108,"Ha padecido alguna vez: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)"
G25b_11,1,109,"Ha padecido en los últimos 12 meses: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)"
G25c_11,1,110,"Diagnóstico médico: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)"
G25a_12,1,111,"Ha padecido alguna vez: Diabetes"
G25b_12,1,112,"Ha padecido en los últimos 12 meses: Diabetes"
G25c_12,1,113,"Diagnóstico médico: Diabetes"
G25a_13,1,114,"Ha padecido alguna vez: Úlcera de estómago o duodeno"
G25b_13,1,115,"Ha padecido en los últimos 12 meses: Úlcera de estómago o duodeno"
G25c_13,1,116,"Diagnóstico médico: Úlcera de estómago o duodeno"
G25a_14,1,117,"Ha padecido alguna vez: Incontinencia urinaria o problemas de control de la orina"
G25b_14,1,118,"Ha padecido en los últimos 12 meses: Incontinencia urinaria o problemas de control de la orina"
G25c_14,1,119,"Diagnóstico médico: Incontinencia urinaria o problemas de control de la orina"
G25a_15,1,120,"Ha padecido alguna vez: Colesterol alto"
G25b_15,1,121,"Ha padecido en los últimos 12 meses: Colesterol alto"
G25c_15,1,122,"Diagnóstico médico: Colesterol alto"
G25a_16,1,123,"Ha padecido alguna vez: Cataratas"
G25b_16,1,124,"Ha padecido en los últimos 12 meses: Cataratas"
G25c_16,1,125,"Diagnóstico médico: Cataratas"
G25a_17,1,126,"Ha padecido alguna vez: Problemas crónicos de piel"
G25b_17,1,127,"Ha padecido en los últimos 12 meses: Problemas crónicos de piel"
G25c_17,1,128,"Diagnóstico médico: Problemas crónicos de piel"
G25a_18,1,129,"Ha padecido alguna vez: Estreñimiento crónico"
G25b_18,1,130,"Ha padecido en los últimos 12 meses: Estreñimiento crónico"
G25c_18,1,131,"Diagnóstico médico: Estreñimiento crónico"
G25a_19,1,132,"Ha padecido alguna vez: Cirrosis, disfunción hepática"
G25b_19,1,133,"Ha padecido en los últimos 12 meses: Cirrosis, disfunción hepática"
G25c_19,1,134,"Diagnóstico médico: Cirrosis, disfunción hepática"
G25a_20,1,135,"Ha padecido alguna vez: Depresión"
G25b_20,1,136,"Ha padecido en los últimos 12 meses: Depresión"
