name,v_2014,v_2017,v_2020,v_2023,type,decimals
CCAA,CCAA,CCAA,CCAA,CCAA,c,
IDENTHOGAR,IDENTHOGAR,IDENTHOGAR,IDENTHOGAR,IDENTHOGAR,c,
NORDEN,A7_2a,A7_2a,A7_2a,NORDENa,i,
SEXO,SEXOa,SEXOa,SEXOa,SEXOa,c,
EDAD,EDADa,EDADa,EDADa,EDADa,i,
A1a,E1_1,E1_1,E1_1,A1a,c,
A2a_1,E2_1a,E2_1a,E2_1a,A2a_1,c,
A2a_2,E2_1b,E2_1b,E2_1b,A2a_2,c,
A2a_3,E2_1d,E2_1d,E2_1d,A2a_3,c,
A4,E4,E4,E4,A4,c,
A5,E4b,E4b,E4b,A5,c,
NIVEST,ESTUDIOS,NIVEST,ESTUDIOS,NIVEST,c,
B8,F13,F13,F13,B8,c,
B11,F16,F16,F16,B11,c,
B12,F17,F17,F17,B12,c,
B13a_2,F18a_2,F18a_2,F18a_2,B13a_2,c,
B14a_2,F19a_2,F19a_2,F19a_2,B14a_2,c,
C1,G21,G21,G21,C1,c,
C2,G22,G22,G22,C2,c,
C3a,G23,G23,G23,C3a,c,
C3b,G24,G24,G24,C3b,c,
E1,J30,,J30,E1,c,
E2,J31,,J31,E1,i,
O1,T111,T111,T111,O1,c,
O2,T112,T112,T112,O2,c,
S1,X130,,X130,S1,c,
S2,X131,,X131,S2,c,
S3,X132,,X132,S3,c,
IMC,IMC,IMCa,IMC,IMC,c,
CMD1,CMD1,CMD1,CMD1,CMD1,d,2
SEVERIDAD,SEVERIDAD_DEPRESIVA,,SEVERIDAD_DEPRESIVA,SEVERIDAD_DEPRESIVA,c,
CUADROS,CUADROS_DEPRESIVOS,,CUADROS_DEPRESIVOS,CUADROS_DEPRESIVOS,c,
