var,len,start,description
CCAA,2,1,"Comunidad Autónoma de residencia"
IDENTHOGAR,7,3,"Número de identificación del hogar: 00000001 a 99999999"
ESTRATO,1,10,"Estrato al que pertenece el hogar (por tamaño de municipio)"
SEXO,1,11,"Sexo"
EDAD,3,12,"Edad (000 a 120)"
NORDEN,2,15,"Número de orden de los miembros del hogar (01 a 30)"
NADULTOS,2,17,"Número de adultos en el hogar (01 a 15)"
NMENORES,2,19,"Número de menores en el hogar (00 a 15)"
A9,1,21,"Persona de referencia (P.R.)"
NORDEN_Pref,2,22,"Número de orden de la persona de referencia (01 a 30)"
A7_2a,2,24,"Número de orden del adulto seleccionado (01 a 30)"
A7_2m,2,26,"Número de orden del menor  seleccionado (01 a 30)"
A8,2,28,"Relación con el adulto seleccionado"
NORINF,2,30,"Número de orden del informante del Cuestionario de Hogar"
A5_otra,1,32,"Otra persona: Relación con el hogar del informante del Cuestionario de Hogar (código)"
A10,2,33,"Nivel de estudios"
A11,1,35,"Situación laboral actual"
A12,1,36,"Tipo de hogar"
B13,1,37,"Persona de referencia jubilado o incapacitado: ¿Percibe pensión contributiva?"
B14,1,38,"Persona de referencia jubilado o incapacitado: ¿Ha trabajado antes?"
B15_2,3,39,"Persona que generó la pensión: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
B16_2,3,42,"Persona que generó la pensión: Ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
B17,1,45,"Persona que generó la pensión: Situación profesional en la ocupación que desempeñó"
B18,1,46,"Persona de referencia: ¿Ha trabajado alguna vez?"
B19a_2,3,47,"Persona de referencia: Actividad de la empresa en la que trabaja (código CNAE2009, 3 dígitos)"
B19b_2,3,50,"Persona de referencia: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
B20a_2,3,53,"Persona de referencia: Ocupación, profesión u oficio actual (código CNO2011, 3 dígitos)"
B20b_2,3,56,"Persona de referencia: Última ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
B21a,1,59,"Persona de referencia: Situación profesional que desempeña en su empleo"
B21b,1,60,"Persona de referencia: Situación profesional que desempeñó en su último empleo"
CLASE_PR,1,61,"Variable derivada: Clase social basada en la ocupación de la persona de referencia"
C22_1,1,62,"Problema vivienda: Ruido molesto"
C22_2,1,63,"Problema vivienda: Malos olores exterior"
C22_3,1,64,"Problema vivienda: Agua consumo mala calidad"
C22_4,1,65,"Problema vivienda: Poca limpieza calles"
C22_5,1,66,"Problema vivienda: Contaminación aire elevada por industria cercana"
C22_6,1,67,"Problema vivienda: Contaminación aire elevada por otras causas"
C22_7,1,68,"Problema vivienda: Escasez de zonas verdes"
C22_8,1,69,"Problema vivienda: Presencia animales que causan molestias importantes"
C22_9,1,70,"Problema vivienda: Delincuencia, violencia o vandalismo en su casa o barrio"
D23_1,1,71,"Tipo de ingresos: Ingresos del trabajo (por cuenta propia o ajena)"
D23_2,1,72,"Tipo de ingresos: Prestación y subsidios por desempleo"
D23_3,1,73,"Tipo de ingresos: Pensión por jubilación o viudedad"
D23_4,1,74,"Tipo de ingresos: Pensión por invalidez o incapacidad"
D23_5,1,75,"Tipo de ingresos: Prestaciones económicas por hijo a cargo, ayudas a la familia..."
D23_6,1,76,"Tipo de ingresos: Prestaciones o subvenciones relacionadas con la vivienda"
D23_7,1,77,"Tipo de ingresos: Prestaciones o subvenciones relacionadas con la educación"
D23_8,1,78,"Tipo de ingresos: Otros ingresos regulares / Otro subsidio o prestación social regular"
D23_9,1,79,"Tipo de ingresos: Ninguna fuente de ingreso"
D23_10,1,80,"Tipo de ingresos: No sabe"
D23_11,1,81,"Tipo de ingresos: No contesta"
D24,1,82,"Principal tipo de ingreso"
INGRESOS,2,83,"Ingreso mensual neto: intervalo"
FACTORHOGAR,9,85,"Factor de elevación del hogar (5 enteros, 3 decimales)"
