name,v_2014,v_2017,v_2020,v_2023,type,decimals
CCAA,CCAA,CCAA,CCAA,CCAA,c,
IDENTHOGAR,IDENTHOGAR,IDENTHOGAR,IDENTHOGAR,IDENTHOGAR,c,
ESTRATO,ESTRATO,ESTRATO,ESTRATO,ESTRATO,c,
SEXO,SEXO_i,SEXO_i,SEXO_i,SEXO,c,
EDAD,EDAD_i,EDAD_i,EDAD_i,EDAD,i,
NADULTOS,NADULTOS,NADULTOS,NADULTOS,NADULTOS,i,
NMENORES,NMENORES,NMENORES,NMENORES,NMENORES,i,
NORDEN_PREF,NORDEN_Pref,NORDEN_Pref,NORDEN_Pref,NORDEN_Pref,i,
A10,A10_i,A10_i,A10_i,A10,c,
A11,A11_i,A11_i,A11_i,A11,c,
A12,A12,A12,A12,A12,c,
INGRESOS,D26,D29,D26,INGRESOS,c,
CLASE_PR,CLASE_PR,CLASE_PR,CLASE_PR,CLASE_PR,c,
